TMA Ref,DMA Name,District Type,Water Balance Area,Region
NX09,"Vinings 10"" TM",OSCM,Sussex North,Sussex
AX09,Abbotstone to Bighton TM,OSCM,Hampshire South,Hampshire
PM03,Petworth Mid Level WSR 180mm outlet TM,OSCM,Sussex North,Sussex
AX21,West Hill WSR to Winchester Low,OSCM,Hampshire South,Hampshire
BY06,Bury Hill WSR outlet trunk main,TMA,Sussex North,Sussex
DL01,Deal Low Outlet TM,OSCM,Thanet,Thanet
DR17,Ditchling Road WSR Inlet/Outlet TM,OSCM,Sussex Coastal,Sussex
HD05,Houndean Lewes WSR Outlet main,OSCM,Sussex Coastal,Sussex
HG05,High Hat Whitwell WSR to DMA TM,OSCM,Isle of Wight,IOW
HX11,Fairlight to Halton Trunk,OSCM,Hastings,Hastings
HX15,Newgate Trunk,OSCM,Hastings,Hastings
IX01,Afton Down TM,OSCM,Isle of Wight,IOW
NX13,Coltstaple 400mm TM North,OSCM,Sussex North,Sussex
PM04,Petworth 200mm mm outlet TM,OSCM,Sussex North,Sussex
PX17,Moorhill Res to DMA Trunk main,OSCM,Hampshire South,Hampshire
SD11,"Southdown WSR 12"" Outlet TM",OSCM,Medway,Medway
SV03,Saltdean WSR Outlet TM,TMA,Sussex Coastal,Sussex
ST05,Stockers WSR North Outlet TM,OSCM,Medway,Medway
AX14,Otterbourne PS-Yewhill res,OSCM,Hampshire South,Hampshire
PX06,RownhamsTM East,OSCM,Hampshire South,Hampshire
TW50,Allington Ln to Shamblehurst Hedge End WBS TM,OSCM,Hampshire South,Hampshire
PX31,Michelmersh-Kings Sombourne,TMA,Hampshire South,Hampshire
MX34,Nurstead WSR-Northfleet booster Stn TM,OSCM,Medway,Medway
MX50,Westfield WSR - Woolmans WSR 300mm transfer TM,OSCM,Medway,Medway
IX06,Brading Res to Ashey Res TM,OSCM,Isle of Wight,IOW
AX17,Yewhill res - Crabwood res,TMA,Hampshire South,Hampshire
IX03,Shalcombe HL Res to Afton Down Res,OSCM,Isle of Wight,IOW
IX08,Broadfields - Alvington HL WSR TM,OSCM,Isle of Wight,IOW
IX13,St Lawrence WSR to High Hat Whitwell WSR TM,TMA,Isle of Wight,IOW
IX24,Chillerton WSW to Tolt & Rill Res T M,TMA,Isle of Wight,IOW
NX03,Knightsfield Reservoir to Rogate WSW,TMA,Sussex North,Sussex
NX14,Hampers Lane-Buchan Hill Transfer Main,OSCM,Sussex North,Sussex
NX15,Buchan Hill-Turners Hill Transfer Main,TMA,Sussex North,Sussex
NX34,Petworth Mid to Petworth High Trunk Main,TMA,Sussex North,Sussex
NX43,Star WSR to Beedingwood WSR TM,TMA,Sussex North,Sussex
PX01,Lyndhurst to Emery Down TM,TMA,Hampshire South,Hampshire
TX01,Rumfields- Fleete trunk main,OSCM,Thanet,Thanet
IX31,Greatwds Res to Luccombe HL Res TM,OSCM,Isle of Wight,IOW
IX39,Shalcombe H L Res to Shalc WSW TM,OSCM,Isle of Wight,IOW
BN05,Broughton Down,OSCM,Hampshire South,Hampshire
AX22,Sarum Rd WSR to DMA TM,OSCM,Hampshire South,Hampshire
BE11,"Balsdean 20"" TM",OSCM,Sussex Coastal,Sussex
PX02,Otterbourne Direct TM,OSCM,Hampshire South,Hampshire
HX17,Baldslow 18in TM,OSCM,Hastings,Hastings
IX18,Alvington HL Res to Brdfields WSW TM,OSCM,Isle of Wight,IOW
TX02,Thanet SE trunk main,OSCM,Thanet,Thanet
CX98,"Tenants Hill WSR and Bwater WSR 12"" overflow",TMA,Sussex Coastal,Sussex
TX08,Deal Gravity,OSCM,Thanet,Thanet
MX40,Cromers Wood WSR-Stockers WSR TM,OSCM,Medway,Medway
IX09,Alvington HL Res to Afton Down Res TM,OSCM,Isle of Wight,IOW
MX01,Dunkirk - Selling Trunk main,TMA,Thanet,Thanet
PX04,Rownhams Trunk Mains,OSCM,Hampshire South,Hampshire
CX01,Madehurst/ Perry Hill Trunk Main,OSCM,Sussex Coastal,Sussex
BA48,Brede to Brede Broadoak Trunk,OSCM,Hastings,Hastings
PX03,Rownams Trunk Mains W/S,OSCM,Hampshire South,Hampshire
AX01,Easton - London Rd TM,OSCM,Hampshire South,Hampshire
PX07,Testwood Ind Main To Broadfields WSW,TMA,Hampshire South,Hampshire
MS99,Sompting WSW outlet to Middle service TM,OSCM,Sussex Coastal,Sussex
MX10,Borstal/ Luton-Darland TM450mm - 1,TMA,Medway,Medway
MX27,Strood WSW to Colewood Trunk main,TMA,Medway,Medway
MX29,Higham WSW to Shorne Res trunk main,TMA,Medway,Medway
MX37,Northfleet to Singlewell Trunk main,OSCM,Medway,Medway
MX44,Rainham Mark Res to Distribution,OSCM,Medway,Medway
TX28,Martin Gorse WSW-Ellens Rd TM,TMA,Thanet,Thanet
IX04,Sandown WSW to Whiteley Bk TM,OSCM,Isle of Wight,IOW
AX07,Kingsclere PS/Res Rural,OSCM,Kingsclere,Hampshire
AS07,Ashey High Level,OSCM,Isle of Wight,IOW
MX19,Burham WSW to Colewood Strood WSR TM,OSCM,Medway,Medway
HX01,Brede to Fairlight Trunk,OSCM,Hastings,Hastings
WA04,Balsdean WSW to Warren Road Brighton WSR,OSCM,Sussex Coastal,Sussex
LV01,Ventnor H L Pumps to Lowthville Res,OSCM,Isle of Wight,IOW
IX05,Sandown WSW to Brading WSR TM,TMA,Isle of Wight,IOW
BE10,Balsdean WSW to Saltdean WSR TM,OSCM,Sussex Coastal,Sussex
IX02,Black Hut PRV to Shalcombe HL Res,OSCM,Isle of Wight,IOW
MX24,Nashenden to Borstal Trunk main,TMA,Medway,Medway
MX32,Luddesdown WSW-Cobham Res TM,TMA,Medway,Medway
NX40,Hardham WSW to Bury WSR TM,TMA,Sussex North,Sussex
SO02,Southover WSW to Southover WSR TM,TMA,Sussex Coastal,Sussex
AX15,Ott-Yewhill 600mm TM,TMA,Hampshire South,Hampshire
CX08,Burpham WSW To Perry Hill WSR TM,TMA,Sussex Coastal,Sussex
CX10,Broadwater WSW To Tenants Hill WSR 18in TM,TMA,Sussex Coastal,Sussex
CX12,Broadwater WSW To Broadwater WSR TM,TMA,Sussex Coastal,Sussex
CX15,Findon WSW To Tenants Hill WSR TM,TMA,Sussex Coastal,Sussex
CX24,Southover WSW to St Annes WSR TM,TMA,Sussex Coastal,Sussex
CX25,Southover WSW to Windmill and Houndean W,TMA,Sussex Coastal,Sussex
CX27,Shoreham WSW To Shoreham WSR Trunk Main,TMA,Sussex Coastal,Sussex
CX36,Arundel WSW to Arundel Town WSR TM,TMA,Sussex Coastal,Sussex
CX80,Patcham WSW to Patcham Middle WSR,TMA,Sussex Coastal,Sussex
CX97,Clapham WSW to Patching Hill WSR TM,TMA,Sussex Coastal,Sussex
DK02,Calcott Hill WBS to Fleete WSR TM,OSCM,Thanet,Thanet
HX03,Brede to Baldslow Trunk,OSCM,Hastings,Hastings
HX09,Brede to Udimore Trunk,TMA,Hastings,Hastings
HX14,Beauport-Baldslow Trunk,TMA,Hastings,Hastings
IX07,Knighton WSW  to Ashey Res TM,TMA,Isle of Wight,IOW
IX20,Bowcombe WSW to Alv ML Res TM,OSCM,Isle of Wight,IOW
IX21,Carisbrooke WSW to Alv HL TM,TMA,Isle of Wight,IOW
IX22,Carisbrooke WSW/Cooks Castle Shanklin WSR,OSCM,Isle of Wight,IOW
IX33,Carisbke WSW to Alvington ML Res TM,TMA,Isle of Wight,IOW
MX05,Bottom Pond WSW - Cromers Wood WSR TM,TMA,Medway,Medway
MX07,Highsted- Cromers Wood trunk main,TMA,Medway,Medway
MX09,Matts Hill WSW to Wigmore,OSCM,Medway,Medway
MX11,Luton- Darland Trunk main,TMA,Medway,Medway
MX31,Three Crutches to Shorne res trunk Main,TMA,Medway,Medway
MX43,Fawkham WSW to Nurstead WSR Trunk Main,OSCM,Medway,Medway
NX01,"Hardham WSW  to Itchingfield WSR 18"" TM",TMA,Sussex North,Sussex
NX02,Rotherfield Source to Knightsfield Res T,TMA,Sussex North,Sussex
NX04,Hardham WSW to Knightsfld Mdhrst WSR 300mm TM,TMA,Sussex North,Sussex
NX06,"Hardham WSW to Petworth Mid WSR 12 "" TM",TMA,Sussex North,Sussex
NX11,21-in Hardham to Horsham Trunk Main,TMA,Sussex North,Sussex
NX21,Hardham WSW to Hampers Lane WSR 32in TM,TMA,Sussex North,Sussex
NX27,Steyning BH and Res Mains,TMA,Sussex North,Sussex
NX32,Lodsworth WSW to Vinings Res Trunk Main,TMA,Sussex North,Sussex
PX16,Timsbury WSW to Michelmersh WSR,TMA,Hampshire South,Hampshire
PX22,Otterbourne WSW to Otterbourne Res TM,TMA,Hampshire South,Hampshire
PX34,Twyford moors - Twyford res,TMA,Hampshire South,Hampshire
TX05,Wingham- Fleete Trunk main,TMA,Thanet,Thanet
TX06,Wingham to Aylesham Reservoir,TMA,Thanet,Thanet
TX26,Martin Gorse WSW-Martin Mill WSR TM,TMA,Thanet,Thanet
AX18,Easton To Westhill Trunk main,TMA,Hampshire South,Hampshire
NX18,Weirwood to Turners Hill Transfer Main,TMA,Sussex North,Sussex
AN32,River Way Andover WSW to Micheldever Road WSR,OSCM,Andover,Hampshire
AX05,Ibthorpe PS,OSCM,Andover,Hampshire
MX03,Eastling- distrbution main,OSCM,Medway,Medway
MX51,Westfield - Wigmore,OSCM,Medway,Medway
PX10,Twyford WSR to Allington Lane,OSCM,Hampshire South,Hampshire
MX38,Hazells WPS to Northfleet WSW,OSCM,Medway,Medway
CX02,Arundel WSW to Batworth Park WSR,OSCM,Sussex Coastal,Sussex
BW40,Ham Road / Brighton Road TM,OSCM,Sussex Coastal,Sussex
CS16,Coltstaple 300mm TM South,OSCM,Sussex North,Sussex
LR05,Saltdean Vale WBS to Longridge Telcombe,OSCM,Sussex Coastal,Sussex
