Date of Reading,(CUS) IF0832 (Flow) (Flow (m3/hr)),(CUS) IF0833 (Flow) (Flow (m3/hr)),(IN) IF1801 (Flow) (Flow (m3/hr)),(OUT) IF0802 Flow (Flow (m3/hr)),Itchingfield 250mm east TM (Balance) (Flow (m3/hr))
22/08/2022 00:15:00,,,2.112,0,2.112
22/08/2022 00:30:00,,,1.984,0,1.984
22/08/2022 00:45:00,,,1.636,0,1.636
22/08/2022 01:00:00,,,1.66,0,1.66
22/08/2022 01:15:00,,,1.528,0,1.528
22/08/2022 01:30:00,,,3.272,0,3.272
22/08/2022 01:45:00,,,1.68,0,1.68
22/08/2022 02:00:00,,,1.784,0,1.784
22/08/2022 02:15:00,,,1.684,0,1.684
22/08/2022 02:30:00,,,1.536,0,1.536
22/08/2022 02:45:00,,,1.72,0,1.72
22/08/2022 03:00:00,,,1.724,0,1.724
22/08/2022 03:15:00,,,2.392,0,2.392
22/08/2022 03:30:00,,,2.744,0,2.744
22/08/2022 03:45:00,,,1.648,0,1.648
22/08/2022 04:00:00,,,1.6,0,1.6
22/08/2022 04:15:00,,,2.196,0,2.196
22/08/2022 04:30:00,,,2.26,0,2.26
22/08/2022 04:45:00,,,3.024,0,3.024
22/08/2022 05:00:00,,,2.564,0,2.564
22/08/2022 05:15:00,,,4.964,0,4.964
22/08/2022 05:30:00,,,4.072,0,4.072
22/08/2022 05:45:00,,,4.612,0,4.612
22/08/2022 06:00:00,,,5.812,0,5.812
22/08/2022 06:15:00,,,5.172,0,5.172
22/08/2022 06:30:00,,,11.372,0,11.372
22/08/2022 06:45:00,,,7.636,0,7.636
22/08/2022 07:00:00,,,9.964,0,9.964
22/08/2022 07:15:00,,,10.556,0,10.556
22/08/2022 07:30:00,,,9.42,0,9.42
22/08/2022 07:45:00,,,12.892,0,12.892
22/08/2022 08:00:00,,,14.132,0,14.132
22/08/2022 08:15:00,,,15.468,0,15.468
22/08/2022 08:30:00,,,15.856,0,15.856
22/08/2022 08:45:00,,,27.696,0,27.696
22/08/2022 09:00:00,,,16.012,0,16.012
22/08/2022 09:15:00,,,17.736,0,17.736
22/08/2022 09:30:00,,,20.884,0,20.884
22/08/2022 09:45:00,,,15.524,0,15.524
22/08/2022 10:00:00,,,14.764,0,14.764
22/08/2022 10:15:00,,,17.176,0,17.176
22/08/2022 10:30:00,,,15.28,0,15.28
22/08/2022 10:45:00,,,13.208,0,13.208
22/08/2022 11:00:00,,,11.748,0,11.748
22/08/2022 11:15:00,,,11.304,0,11.304
22/08/2022 11:30:00,,,16.328,0,16.328
22/08/2022 11:45:00,,,13.224,0,13.224
22/08/2022 12:00:00,,,15.392,0,15.392
22/08/2022 12:15:00,,,15.68,0,15.68
22/08/2022 12:30:00,,,14.056,0,14.056
22/08/2022 12:45:00,,,18.34,0,18.34
22/08/2022 13:00:00,,,13.584,0,13.584
22/08/2022 13:15:00,,,19.048,0,19.048
22/08/2022 13:30:00,,,8.628,0,8.628
22/08/2022 13:45:00,,,8.992,0,8.992
22/08/2022 14:00:00,,,14.132,0,14.132
22/08/2022 14:15:00,,,15.492,0,15.492
22/08/2022 14:30:00,,,11.744,0,11.744
22/08/2022 14:45:00,,,6.66,0,6.66
22/08/2022 15:00:00,,,5.76,0,5.76
22/08/2022 15:15:00,,,6.8,0,6.8
22/08/2022 15:30:00,,,5.8,0,5.8
22/08/2022 15:45:00,,,6.804,0,6.804
22/08/2022 16:00:00,,,10.084,0,10.084
22/08/2022 16:15:00,,,5.02,0,5.02
22/08/2022 16:30:00,,,6.108,0,6.108
22/08/2022 16:45:00,,,5.808,0,5.808
22/08/2022 17:00:00,,,11.484,0,11.484
22/08/2022 17:15:00,,,9.24,0,9.24
22/08/2022 17:30:00,,,7.944,0,7.944
22/08/2022 17:45:00,,,7.736,0,7.736
22/08/2022 18:00:00,,,10.74,0,10.74
22/08/2022 18:15:00,,,6.528,0,6.528
22/08/2022 18:30:00,,,6.604,0,6.604
22/08/2022 18:45:00,,,7.4,0,7.4
22/08/2022 19:00:00,,,10.164,0,10.164
